City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Byron Bay,AU,-28.65,153.6167,79.95,58,13,3.49,few clouds
120,Rawson,AR,-43.3002,-65.1023,71.62,31,44,14.43,scattered clouds
121,Adiake,CI,5.2863,-3.304,77.05,85,15,4.88,few clouds
122,Kapaa,US,22.0752,-159.319,79.2,78,82,5.01,broken clouds
123,Tikapur,NP,28.5,81.1333,48.31,80,2,2.62,clear sky
124,San Patricio,US,28.017,-97.5169,79.16,86,65,16.24,broken clouds
125,East London,ZA,-33.0153,27.9116,70.34,86,100,13.71,overcast clouds
126,Norman Wells,CA,65.282,-126.8329,6.1,89,100,6.08,overcast clouds
127,Mareeba,AU,-17.0,145.4333,79.52,90,100,1.23,overcast clouds
128,Vanderhoof,CA,54.0166,-124.0198,25.11,98,100,2.35,overcast clouds
129,Spearfish,US,44.4908,-103.8594,33.28,79,100,10.36,snow
130,Chokurdakh,RU,70.6333,147.9167,-37.25,99,97,3.96,overcast clouds
131,Hasaki,JP,35.7333,140.8333,39.29,37,79,6.08,broken clouds
132,Anadyr,RU,64.75,177.4833,-17.9,76,0,13.42,clear sky
133,Phan Thiet,VN,10.9333,108.1,73.67,85,75,3.31,broken clouds
134,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,66,6.55,broken clouds
135,Filotion,GR,37.05,25.5,50.32,74,0,7.43,clear sky
136,Waipawa,NZ,-41.4122,175.5153,69.46,54,23,12.5,few clouds
137,Mattru,SL,7.6244,-11.8332,72.16,93,0,1.14,clear sky
138,Barcelos,PT,41.5388,-8.6151,48.92,90,5,3.67,clear sky
139,Olafsvik,IS,64.8945,-23.7142,31.95,93,100,15.35,snow
140,Damghan,IR,36.1683,54.348,32.41,33,0,0.83,clear sky
141,Dharan,NP,26.8125,87.2835,52.86,60,1,6.06,clear sky
142,Virginia Beach,US,36.8529,-75.978,60.04,79,76,6.22,broken clouds
143,Upernavik,GL,72.7868,-56.1549,-16.69,81,39,4.97,scattered clouds
144,Seoul,KR,37.5683,126.9778,15.24,59,1,1.23,clear sky
145,Goya,AR,-29.14,-59.2626,77.14,21,1,5.17,clear sky
146,Bethel,US,41.3712,-73.414,45.93,82,55,2.35,broken clouds
147,Gamba,GA,-2.65,10.0,76.78,84,100,1.79,moderate rain
