City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Joshimath,IN,2022-10-18 02:25:32,30.5667,79.5667,56.23,55,6,3.04
94,Bredasdorp,ZA,2022-10-18 02:25:33,-34.5322,20.0403,57.97,96,96,1.97
95,Cape Town,ZA,2022-10-18 02:25:27,-33.9258,18.4232,62.91,82,0,8.05
96,Sligo,IE,2022-10-18 02:25:33,54.2697,-8.4694,45.61,90,100,4.03
97,Husavik,IS,2022-10-18 02:25:34,66.0449,-17.3389,32.05,75,38,12.8
98,Suruc,TR,2022-10-18 02:25:35,36.9761,38.425,70.74,36,8,13.31
99,San Patricio,US,2022-10-18 02:25:36,28.017,-97.5169,71.46,50,16,11.39
100,Kulebaki,RU,2022-10-18 02:25:36,55.4133,42.5325,44.98,95,100,8.19
101,Necochea,AR,2022-10-18 02:25:36,-38.5473,-58.7368,47.71,93,52,10.63
102,Vallenar,CL,2022-10-18 02:25:37,-28.5708,-70.7581,63.27,44,0,3.85
103,Arraial Do Cabo,BR,2022-10-18 02:25:38,-22.9661,-42.0278,71.65,91,69,14.74
104,Avarua,CK,2022-10-18 02:25:39,-21.2078,-159.775,77.05,65,75,16.11
105,Avera,US,2022-10-18 02:25:39,33.194,-82.5271,67.37,46,0,12.46
106,Dikson,RU,2022-10-18 02:25:40,73.5069,80.5464,32.67,98,100,26.31
107,Manitouwadge,CA,2022-10-18 02:25:40,49.1215,-85.8403,28.29,87,100,19.01
108,Mareeba,AU,2022-10-18 02:25:17,-17.0,145.4333,89.44,51,58,10.51
109,Kenosha,US,2022-10-18 02:23:11,42.5667,-88.0501,39.6,68,100,13.8
110,Hakkari,TR,2022-10-18 02:25:41,37.5833,44.1667,37.18,70,20,2.3
111,Qaqortoq,GL,2022-10-18 02:25:42,60.7167,-46.0333,32.74,69,100,4.92
112,Marsa Matruh,EG,2022-10-18 02:25:42,31.3525,27.2453,70.9,63,77,13.31
